Open,High,Low,Close,Adj Close,Volume
800.5999755859375,813.7999877929688,792.0,804.7999877929688,802.7576293945312,9023067
807.9500122070312,813.5,792.2999877929688,807.7999877929688,805.7500610351562,7405639
812.0,825.0,806.7999877929688,816.7000122070312,814.62744140625,10646970
830.0999755859375,866.9000244140625,825.4500122070312,845.0999755859375,842.955322265625,29193770
848.4000244140625,851.6500244140625,823.5,841.9000244140625,839.7635498046875,16771909
840.0,840.7999877929688,785.6500244140625,787.5,785.5015258789062,39606414
787.5,789.0,754.6500244140625,758.3499755859375,756.4254760742188,19320926
762.0,762.0,714.0,742.0,740.1170043945312,21343427
755.0,760.0,740.0,752.3499755859375,750.440673828125,11694854
752.5,761.3499755859375,748.0499877929688,755.8499755859375,753.9318237304688,11812106
759.4500122070312,762.6500244140625,748.5,750.5999755859375,748.6951293945312,10529505
